Short Country	Long Country	Holiday	Long Date	Short Date	Description
AT	Austria	Saint Florian's Day	"Sunday, May 4, 2025"	4-May-25	Saint Florian's Day is a state holiday in Austria
AT	Austria	Mothers' Day	"Sunday, May 11, 2025"	11-May-25	Motherâ€™s Day celebrates the achievements and efforts of mothers and mother figures.
AT	Austria	Ascension Day	"Thursday, May 29, 2025"	29-May-25	Ascension Day is the 40th day of Easter. It is a religious holiday that commemorates the ascension of Jesus Christ into heaven.
AT	Austria	Fathers' Day	"Sunday, June 8, 2025"	8-Jun-25	Fatherâ€™s Day celebrates fatherhood and male parenting on different dates worldwide.
AT	Austria	Whit Sunday	"Sunday, June 8, 2025"	8-Jun-25	"Many Christians all over the world annually observe Pentecost, also known as Whitsunday or Whit Sunday."
AT	Austria	Whit Monday	"Monday, June 9, 2025"	9-Jun-25	"Whit Monday, or Pentecost Monday, is a Christian holiday that falls on the day after Pentecost, which is also known as Whit Sunday or Whitsunday."
AT	Austria	Corpus Christi	"Thursday, June 19, 2025"	19-Jun-25	Corpus Christi is a Christian feast in honor of the Holy Eucharist.
AT	Austria	June Solstice	"Saturday, June 21, 2025"	21-Jun-25	June Solstice in Austria (Vienna)
AT	Austria	Assumption of Mary	"Friday, August 15, 2025"	15-Aug-25	The Christian feast of the Assumption of Mary is on or around Aug 15 in most countries. A few celebrate Assumption Day at other times of the year.
AT	Austria	September Equinox	"Monday, September 22, 2025"	22-Sep-25	September Equinox in Austria (Vienna)
AT	Austria	Saint Rupert's Day	"Wednesday, September 24, 2025"	24-Sep-25	Saint Rupert's Day is a state holiday in Austria
AT	Austria	European Heritage Days	"Sunday, September 28, 2025"	28-Sep-25	European Heritage Days is a observance in Austria
AT	Austria	Yom Kippur	"Thursday, October 2, 2025"	2-Oct-25	Yom Kippur (Day of Atonement) is an important Jewish holiday that centers on the themes of atonement and repentance.
AT	Austria	Plebiscite Day	"Friday, October 10, 2025"	10-Oct-25	Plebiscite Day is a state holiday in Austria
AT	Austria	National Day	"Sunday, October 26, 2025"	26-Oct-25	National Day on October 26 is a public holiday in Austria.
AT	Austria	Daylight Saving Time ends	"Sunday, October 26, 2025"	26-Oct-25	Daylight Saving Time ends in Austria
AT	Austria	Reformation Day	"Friday, October 31, 2025"	31-Oct-25	Reformation Day is a observance in Austria
AT	Austria	All Saints' Day	"Saturday, November 1, 2025"	1-Nov-25	"Many churches honor all their saints on All Saints' Day, also known as All Hallows' Day."
AT	Austria	All Souls' Day	"Sunday, November 2, 2025"	2-Nov-25	All Soulsâ€™ Day falls on November 2 each year. It is a day of alms giving and prayers for the dead.
AT	Austria	Saint Martin's Day	"Tuesday, November 11, 2025"	11-Nov-25	Saint Martin's Day is a state holiday in Austria
AT	Austria	Saint Leopold's Day	"Saturday, November 15, 2025"	15-Nov-25	Saint Leopold's Day is a state holiday in Austria
AT	Austria	First Advent Sunday	"Sunday, November 30, 2025"	30-Nov-25	The first Sunday of Advent marks the beginning of the Christian year.
AT	Austria	Immaculate Conception	"Monday, December 8, 2025"	8-Dec-25	The Feast of the Immaculate Conception is a Christian observance on December 8 each year.
AT	Austria	December Solstice	"Sunday, December 21, 2025"	21-Dec-25	December Solstice in Austria (Vienna)
AT	Austria	Christmas Eve	"Wednesday, December 24, 2025"	24-Dec-25	Christmas Eve is the day before Christmas Day and falls on December 24 in the Gregorian calendar.
AT	Austria	Christmas Day	"Thursday, December 25, 2025"	25-Dec-25	Christmas Day is one of the biggest Christian celebrations and falls on December 25 in the Gregorian calendar.
AT	Austria	St. Stephen's Day	"Friday, December 26, 2025"	26-Dec-25	St. Stephen's Day is a national holiday in Austria
AT	Austria	New Year's Eve	"Wednesday, December 31, 2025"	31-Dec-25	"New Yearâ€™s Eve is the last day of the year, December 31, in the Gregorian calendar."
AZ	Azerbaijan	New Year's Day	"Wednesday, January 1, 2025"	1-Jan-25	"New Yearâ€™s Day is the first day of the year, or January 1, in the Gregorian calendar."
AZ	Azerbaijan	New Year's Holiday	"Thursday, January 2, 2025"	2-Jan-25	New Year's Holiday is a public holiday in Azerbaijan
AZ	Azerbaijan	Martyrsâ€™ Day	"Monday, January 20, 2025"	20-Jan-25	Martyrsâ€™ Day is a public holiday in Azerbaijan
AZ	Azerbaijan	Municipal Elections	"Wednesday, January 29, 2025"	29-Jan-25	Municipal Elections is a public holiday in Azerbaijan
AZ	Azerbaijan	Ramadan Start	"Saturday, March 1, 2025"	1-Mar-25	"Ramadan is a period of prayer, reflection and fasting for many Muslims worldwide. It is the ninth month in the Islamic calendar."
AZ	Azerbaijan	Women's Day	"Saturday, March 8, 2025"	8-Mar-25	Women's Day is a public holiday in Azerbaijan
AZ	Azerbaijan	Nowruz	"Thursday, March 20, 2025"	20-Mar-25	Nowruz is a public holiday in Azerbaijan
AZ	Azerbaijan	March Equinox	"Thursday, March 20, 2025"	20-Mar-25	March Equinox in Azerbaijan (Baku)
AZ	Azerbaijan	Nowruz/Spring Holiday	"Friday, March 21, 2025"	21-Mar-25	Nowruz/Spring Holiday is a public holiday in Azerbaijan
AZ	Azerbaijan	Day off for Nowruz/Spring Holiday	"Tuesday, March 25, 2025"	25-Mar-25	Nowruz/Spring Holiday is a public holiday in Azerbaijan
AZ	Azerbaijan	Nowruz/Spring Holiday	"Thursday, March 27, 2025"	27-Mar-25	Nowruz/Spring Holiday is a public holiday in Azerbaijan
AZ	Azerbaijan	Ramadan holiday	"Sunday, March 30, 2025"	30-Mar-25	"Eid al-Fitr is a holiday to mark the end of the Islamic month of Ramadan, during which Muslims fast during the hours of daylight."
AZ	Azerbaijan	Victory Day over Fascism	"Friday, May 9, 2025"	9-May-25	Victory Day over Fascism is a public holiday in Azerbaijan
AZ	Azerbaijan	Republic Day	"Wednesday, May 28, 2025"	28-May-25	Republic Day is a public holiday in Azerbaijan
AZ	Azerbaijan	Feast of the Sacrifice	"Friday, June 6, 2025"	6-Jun-25	Eid al-Adha (Id ul-Adha) is an Islamic festival falling on the 10th day of the month of Dhul Hijja (Thou al-Hijja) to commemorate the willingness of Ibrahim (Abraham) to sacrifice his son.
AZ	Azerbaijan	Feast of the Sacrifice Holiday	"Saturday, June 7, 2025"	7-Jun-25	Feast of the Sacrifice Holiday is a public holiday in Azerbaijan
AZ	Azerbaijan	Day off for Feast of the Sacrifice Holiday	"Monday, June 9, 2025"	9-Jun-25	Feast of the Sacrifice Holiday is a public holiday in Azerbaijan
AZ	Azerbaijan	Day of National Salvation of the Azerbaijani People	"Sunday, June 15, 2025"	15-Jun-25	Day of National Salvation of the Azerbaijani People is a public holiday in Azerbaijan
AZ	Azerbaijan	Day off for Day of National Salvation of the Azerbaijani People	"Monday, June 16, 2025"	16-Jun-25	Day of National Salvation of the Azerbaijani People is a public holiday in Azerbaijan
AZ	Azerbaijan	June Solstice	"Saturday, June 21, 2025"	21-Jun-25	June Solstice in Azerbaijan (Baku)
AZ	Azerbaijan	Azerbaijan Armed Forces Day	"Thursday, June 26, 2025"	26-Jun-25	Azerbaijan Armed Forces Day is a public holiday in Azerbaijan
AZ	Azerbaijan	September Equinox	"Monday, September 22, 2025"	22-Sep-25	September Equinox in Azerbaijan (Baku)
AZ	Azerbaijan	National Independence Day	"Saturday, October 18, 2025"	18-Oct-25	National Independence Day is a observance in Azerbaijan
AZ	Azerbaijan	Victory Day of the Republic of Azerbaijan	"Saturday, November 8, 2025"	8-Nov-25	Victory Day of the Republic of Azerbaijan is a public holiday in Azerbaijan
AZ	Azerbaijan	State Flag Day of Azerbaijan	"Sunday, November 9, 2025"	9-Nov-25	State Flag Day of Azerbaijan is a public holiday in Azerbaijan
AZ	Azerbaijan	Day off for State Flag Day of Azerbaijan	"Monday, November 10, 2025"	10-Nov-25	State Flag Day of Azerbaijan is a public holiday in Azerbaijan
AZ	Azerbaijan	Day off for Victory Day of the Republic of Azerbaijan	"Monday, November 10, 2025"	10-Nov-25	Victory Day of the Republic of Azerbaijan is a public holiday in Azerbaijan
AZ	Azerbaijan	Constitution Day	"Wednesday, November 12, 2025"	12-Nov-25	Constitution Day is a observance in Azerbaijan
AZ	Azerbaijan	National Revival Day	"Monday, November 17, 2025"	17-Nov-25	National Revival Day is a observance in Azerbaijan
AZ	Azerbaijan	December Solstice	"Sunday, December 21, 2025"	21-Dec-25	December Solstice in Azerbaijan (Baku)
AZ	Azerbaijan	World Azerbaijanis Solidarity Day	"Wednesday, December 31, 2025"	31-Dec-25	World Azerbaijanis Solidarity Day is a public holiday in Azerbaijan
AZ	Azerbaijan	New Year's Eve	"Wednesday, December 31, 2025"	31-Dec-25	"New Yearâ€™s Eve is the last day of the year, December 31, in the Gregorian calendar."
BH	Bahrain	New Year	"Wednesday, January 1, 2025"	1-Jan-25	"New Yearâ€™s Day is the first day of the year, or January 1, in the Gregorian calendar."
BH	Bahrain	Arabian Gulf Cup Holiday	"Sunday, January 5, 2025"	5-Jan-25	Arabian Gulf Cup Holiday is a government holiday in Bahrain
BH	Bahrain	Ramadan Start	"Saturday, March 1, 2025"	1-Mar-25	"Ramadan is a period of prayer, reflection and fasting for many Muslims worldwide. It is the ninth month in the Islamic calendar."
BH	Bahrain	March Equinox	"Thursday, March 20, 2025"	20-Mar-25	March Equinox in Bahrain (Manama)
BH	Bahrain	Eid al-Fitr	"Sunday, March 30, 2025"	30-Mar-25	"Eid al-Fitr is a holiday to mark the end of the Islamic month of Ramadan, during which Muslims fast during the hours of daylight."
BH	Bahrain	Eid al-Fitr Holiday	"Monday, March 31, 2025"	31-Mar-25	Eid al-Fitr Holiday is a national holiday in Bahrain
BH	Bahrain	May Day	"Thursday, May 1, 2025"	1-May-25	"Labor Day, International Workers' Day, and May Day, is a day off for workers in many countries around the world."
BH	Bahrain	Arafat Day	"Thursday, June 5, 2025"	5-Jun-25	Arafat Day is a government holiday in Bahrain
BH	Bahrain	Eid al-Adha	"Friday, June 6, 2025"	6-Jun-25	Eid al-Adha (Id ul-Adha) is an Islamic festival falling on the 10th day of the month of Dhul Hijja (Thou al-Hijja) to commemorate the willingness of Ibrahim (Abraham) to sacrifice his son.
BH	Bahrain	Eid al-Adha Holiday	"Saturday, June 7, 2025"	7-Jun-25	Eid al-Adha Holiday is a national holiday in Bahrain
BH	Bahrain	June Solstice	"Saturday, June 21, 2025"	21-Jun-25	June Solstice in Bahrain (Manama)
BH	Bahrain	Ashoora	"Sunday, July 6, 2025"	6-Jul-25	Ashoora is a national holiday in Bahrain
BH	Bahrain	Ashoora Holiday	"Monday, July 7, 2025"	7-Jul-25	Ashoora Holiday is a national holiday in Bahrain
BH	Bahrain	Muharram	"Saturday, July 26, 2025"	26-Jul-25	Muharram is the first month of the Islamic calendar and a time of remembrance or mourning.
BH	Bahrain	The Prophet's Birthday	"Thursday, September 4, 2025"	4-Sep-25	"Mawlid, or Milad, marks the birth of the Islamic prophet Muhammed, or Mohamed, in the year 570 of the Gregorian calendar."
BH	Bahrain	September Equinox	"Monday, September 22, 2025"	22-Sep-25	September Equinox in Bahrain (Manama)
BH	Bahrain	National Day	"Tuesday, December 16, 2025"	16-Dec-25	National Day is a national holiday in Bahrain
BH	Bahrain	National Day Holiday	"Wednesday, December 17, 2025"	17-Dec-25	National Day Holiday is a national holiday in Bahrain
BH	Bahrain	December Solstice	"Sunday, December 21, 2025"	21-Dec-25	December Solstice in Bahrain (Manama)
BD	Bangladesh	New Year's Day	"Wednesday, January 1, 2025"	1-Jan-25	"New Yearâ€™s Day is the first day of the year, or January 1, in the Gregorian calendar."
BD	Bangladesh	Bangabandhu Homecoming Day	"Friday, January 10, 2025"	10-Jan-25	Bangabandhu Homecoming Day is a observance in Bangladesh
BD	Bangladesh	Shab-e-Meraj	"Tuesday, January 28, 2025"	28-Jan-25	"Isra and Mi'raj (Isra Me'raj, Israa and Mi'raaj, Laylat Al-Isra wa Al-Miraj, Lailat al Miraj, Night Journey and Ascension to Heaven) marks the night that the Prophet Mohammad traveled from Mecca to Jerusalem, ascended to heaven and returned."
BD	Bangladesh	Saraswati Puja	"Monday, February 3, 2025"	3-Feb-25	Saraswati Puja is a optional holiday in Bangladesh
BD	Bangladesh	Maghi Purnima	"Tuesday, February 11, 2025"	11-Feb-25	Maghi Purnima is a optional holiday in Bangladesh
BD	Bangladesh	Valentine's Day	"Friday, February 14, 2025"	14-Feb-25	February 14 is Valentine's Day or Saint Valentine's Feast. The day of love owes its origins to ancient Roman and European Christian traditions.
BD	Bangladesh	Shab e-Barat	"Saturday, February 15, 2025"	15-Feb-25	Shab e-Barat is a government holiday in Bangladesh
BD	Bangladesh	Language Martyrs' Day	"Friday, February 21, 2025"	21-Feb-25	Language Martyrs' Day is a government holiday in Bangladesh
BD	Bangladesh	Maha Shivaratri	"Wednesday, February 26, 2025"	26-Feb-25	"Maha Shivratri is an annual festival dedicated to Shiva, the Hindu God of destruction. For devotees, is a day of reflection and meditation."
BD	Bangladesh	National Flag Day	"Sunday, March 2, 2025"	2-Mar-25	National Flag Day is a observance in Bangladesh
BD	Bangladesh	Ramadan Start	"Sunday, March 2, 2025"	2-Mar-25	"Ramadan is a period of prayer, reflection and fasting for many Muslims worldwide. It is the ninth month in the Islamic calendar."
BD	Bangladesh	Ash Wednesday	"Wednesday, March 5, 2025"	5-Mar-25	Ash Wednesday marks the first day of Lent in western Christian churches.
BD	Bangladesh	Doljatra	"Thursday, March 13, 2025"	13-Mar-25	Doljatra is a observance in Bangladesh
BD	Bangladesh	Holi	"Friday, March 14, 2025"	14-Mar-25	"Holi is a spring festival of colors celebrated by Hindus, Sikhs and others. It celebrates the triumph of good over evil and the upcoming season of spring. The festival can last up to sixteen days."
BD	Bangladesh	March Equinox	"Thursday, March 20, 2025"	20-Mar-25	March Equinox in Bangladesh (Dhaka)
BD	Bangladesh	Independence Day	"Wednesday, March 26, 2025"	26-Mar-25	Independence Day is a government holiday in Bangladesh
BD	Bangladesh	Arrival Day of Sri Sri Harichand Tagore	"Thursday, March 27, 2025"	27-Mar-25	Arrival Day of Sri Sri Harichand Tagore is a optional holiday in Bangladesh
BD	Bangladesh	Shab-e-qadr	"Friday, March 28, 2025"	28-Mar-25	Laylat al-Qadr commmemorates the time when Mohammad received the first verses of the Koran (Qu'ran).
BD	Bangladesh	Eid ul-Fitr Holiday	"Saturday, March 29, 2025"	29-Mar-25	Eid ul-Fitr Holiday is a national holiday in Bangladesh
BD	Bangladesh	Eid ul-Fitr	"Monday, March 31, 2025"	31-Mar-25	"Eid al-Fitr is a holiday to mark the end of the Islamic month of Ramadan, during which Muslims fast during the hours of daylight."
BD	Bangladesh	Eid ul-Fitr Holiday	"Tuesday, April 1, 2025"	1-Apr-25	Eid ul-Fitr Holiday is a government holiday in Bangladesh
BD	Bangladesh	Chaitra Sankranti	"Sunday, April 13, 2025"	13-Apr-25	Chaitra Sankranti is a optional holiday in Bangladesh
BD	Bangladesh	Bengali New Year	"Monday, April 14, 2025"	14-Apr-25	Bengali New Year is a government holiday in Bangladesh
BD	Bangladesh	Maundy Thursday	"Thursday, April 17, 2025"	17-Apr-25	Maundy Thursday is a Christian observance on the Thursday during Holy Week. It is the day before Good Friday.
BD	Bangladesh	Good Friday	"Friday, April 18, 2025"	18-Apr-25	Good Friday is a global Christian observance two days before Easter Sunday.
BD	Bangladesh	Holy Saturday	"Saturday, April 19, 2025"	19-Apr-25	Holy Saturday is the day before Easter Sunday.
BD	Bangladesh	Easter Day	"Sunday, April 20, 2025"	20-Apr-25	"Easter Sunday commemorates Jesus Christâ€™s resurrection, according to Christian belief."
BD	Bangladesh	Easter Monday	"Monday, April 21, 2025"	21-Apr-25	Easter Monday is the day after Easter Sunday.
BD	Bangladesh	May Day	"Thursday, May 1, 2025"	1-May-25	"Labor Day, International Workers' Day, and May Day, is a day off for workers in many countries around the world."
BD	Bangladesh	Buddha Purnima Holiday	"Saturday, May 10, 2025"	10-May-25	Buddha Purnima Holiday is a optional holiday in Bangladesh
BD	Bangladesh	Buddha Purnima/Vesak	"Sunday, May 11, 2025"	11-May-25	Buddha Purnima/Vesak is a government holiday in Bangladesh
BD	Bangladesh	Mothers' Day	"Sunday, May 11, 2025"	11-May-25	Motherâ€™s Day celebrates the achievements and efforts of mothers and mother figures.
BD	Bangladesh	Buddha Purnima Holiday	"Monday, May 12, 2025"	12-May-25	Buddha Purnima Holiday is a optional holiday in Bangladesh
BD	Bangladesh	Eid al-Adha Holiday	"Thursday, June 5, 2025"	5-Jun-25	Eid al-Adha Holiday is a government holiday in Bangladesh
BD	Bangladesh	Eid al-Adha	"Saturday, June 7, 2025"	7-Jun-25	Eid al-Adha (Id ul-Adha) is an Islamic festival falling on the 10th day of the month of Dhul Hijja (Thou al-Hijja) to commemorate the willingness of Ibrahim (Abraham) to sacrifice his son.
BD	Bangladesh	Eid al-Adha Holiday	"Sunday, June 8, 2025"	8-Jun-25	Eid al-Adha Holiday is a government holiday in Bangladesh
BD	Bangladesh	Fathers' Day	"Sunday, June 15, 2025"	15-Jun-25	Fatherâ€™s Day celebrates fatherhood and male parenting on different dates worldwide.
BD	Bangladesh	June Solstice	"Saturday, June 21, 2025"	21-Jun-25	June Solstice in Bangladesh (Dhaka)
BD	Bangladesh	Muharram	"Friday, June 27, 2025"	27-Jun-25	Muharram is the first month of the Islamic calendar and a time of remembrance or mourning.
BD	Bangladesh	July 1 Bank Holiday	"Tuesday, July 1, 2025"	1-Jul-25	July 1 Bank Holiday is a bank holiday in Bangladesh
BD	Bangladesh	Ashura	"Sunday, July 6, 2025"	6-Jul-25	Ashura is a government holiday in Bangladesh
BD	Bangladesh	Ashari Purnima	"Wednesday, July 9, 2025"	9-Jul-25	Ashari Purnima is a optional holiday in Bangladesh
BD	Bangladesh	Janmashtami	"Saturday, August 16, 2025"	16-Aug-25	"Krishna Janmashtami is a Hindu festival that celebrates the birth of Krishna, the eighth incarnation of the god Vishnu. It is celebrated on the eighth day of the Hindu month of Bhadrava (Bhadrapada), which is usually in August or September."
BD	Bangladesh	Akhari Chahar Somba	"Wednesday, August 20, 2025"	20-Aug-25	Akhari Chahar Somba is a optional holiday in Bangladesh
BD	Bangladesh	Eid e-Milad-un Nabi	"Friday, September 5, 2025"	5-Sep-25	"Mawlid, or Milad, marks the birth of the Islamic prophet Muhammed, or Mohamed, in the year 570 of the Gregorian calendar."
BD	Bangladesh	Madhu Purnima	"Saturday, September 6, 2025"	6-Sep-25	Madhu Purnima is a optional holiday in Bangladesh
BD	Bangladesh	Mahalaya	"Sunday, September 21, 2025"	21-Sep-25	Mahalaya is a optional holiday in Bangladesh
BD	Bangladesh	September Equinox	"Monday, September 22, 2025"	22-Sep-25	September Equinox in Bangladesh (Dhaka)
BD	Bangladesh	Durga Puja Holiday	"Monday, September 29, 2025"	29-Sep-25	Durga Puja Holiday is a optional holiday in Bangladesh
BD	Bangladesh	Ashtami	"Tuesday, September 30, 2025"	30-Sep-25	Ashtami is a optional holiday in Bangladesh
BD	Bangladesh	Mahanabami	"Wednesday, October 1, 2025"	1-Oct-25	Mahanabami is a government holiday in Bangladesh
BD	Bangladesh	Durga Puja	"Thursday, October 2, 2025"	2-Oct-25	Durga Puja is a government holiday in Bangladesh
BD	Bangladesh	Fateha-i-Yajdaham	"Saturday, October 4, 2025"	4-Oct-25	Fateha-i-Yajdaham is a optional holiday in Bangladesh
BD	Bangladesh	Prabarana Purnima	"Sunday, October 5, 2025"	5-Oct-25	Prabarana Purnima is a optional holiday in Bangladesh
BD	Bangladesh	Lakshmi Puja	"Monday, October 6, 2025"	6-Oct-25	Lakshmi Puja is a optional holiday in Bangladesh
BD	Bangladesh	Sri Shayama Puja	"Monday, October 20, 2025"	20-Oct-25	Sri Shayama Puja is a optional holiday in Bangladesh
BD	Bangladesh	Halloween	"Friday, October 31, 2025"	31-Oct-25	Halloween is a festive occasion that is celebrated in many countries on October 31 each year.
BD	Bangladesh	Victory Day	"Tuesday, December 16, 2025"	16-Dec-25	Victory Day is a government holiday in Bangladesh
BD	Bangladesh	December Solstice	"Sunday, December 21, 2025"	21-Dec-25	December Solstice in Bangladesh (Dhaka)
BD	Bangladesh	Christmas Eve	"Wednesday, December 24, 2025"	24-Dec-25	Christmas Eve is the day before Christmas Day and falls on December 24 in the Gregorian calendar.
BD	Bangladesh	Christmas Day	"Thursday, December 25, 2025"	25-Dec-25	Christmas Day is one of the biggest Christian celebrations and falls on December 25 in the Gregorian calendar.
BD	Bangladesh	Boxing Day	"Friday, December 26, 2025"	26-Dec-25	Boxing Day is a optional holiday in Bangladesh
BD	Bangladesh	New Year's Eve	"Wednesday, December 31, 2025"	31-Dec-25	"New Yearâ€™s Eve is the last day of the year, December 31, in the Gregorian calendar."
BB	Barbados	New Year's Day	"Wednesday, January 1, 2025"	1-Jan-25	"New Yearâ€™s Day is the first day of the year, or January 1, in the Gregorian calendar."
BB	Barbados	Errol Barrow Day	"Tuesday, January 21, 2025"	21-Jan-25	Errol Barrow Day is a public holiday in Barbados
BB	Barbados	Valentine's Day	"Friday, February 14, 2025"	14-Feb-25	February 14 is Valentine's Day or Saint Valentine's Feast. The day of love owes its origins to ancient Roman and European Christian traditions.
BB	Barbados	March Equinox	"Thursday, March 20, 2025"	20-Mar-25	March Equinox in Barbados (Bridgetown)
BB	Barbados	Good Friday	"Friday, April 18, 2025"	18-Apr-25	Good Friday is a global Christian observance two days before Easter Sunday.
BB	Barbados	Easter Sunday	"Sunday, April 20, 2025"	20-Apr-25	"Easter Sunday commemorates Jesus Christâ€™s resurrection, according to Christian belief."
BB	Barbados	Easter Monday	"Monday, April 21, 2025"	21-Apr-25	Easter Monday is the day after Easter Sunday.
BB	Barbados	National Heroes Day	"Monday, April 28, 2025"	28-Apr-25	National Heroes Day is a public holiday in Barbados
BB	Barbados	Labor Day / May Day	"Thursday, May 1, 2025"	1-May-25	"Labor Day, International Workers' Day, and May Day, is a day off for workers in many countries around the world."
BB	Barbados	Mothers' Day	"Sunday, May 11, 2025"	11-May-25	Motherâ€™s Day celebrates the achievements and efforts of mothers and mother figures.
BB	Barbados	Whit Sunday	"Sunday, June 8, 2025"	8-Jun-25	"Many Christians all over the world annually observe Pentecost, also known as Whitsunday or Whit Sunday."
BB	Barbados	Whit Monday	"Monday, June 9, 2025"	9-Jun-25	"Whit Monday, or Pentecost Monday, is a Christian holiday that falls on the day after Pentecost, which is also known as Whit Sunday or Whitsunday."
BB	Barbados	Fathers' Day	"Sunday, June 15, 2025"	15-Jun-25	Fatherâ€™s Day celebrates fatherhood and male parenting on different dates worldwide.
BB	Barbados	June Solstice	"Saturday, June 21, 2025"	21-Jun-25	June Solstice in Barbados (Bridgetown)
BB	Barbados	Emancipation Day	"Friday, August 1, 2025"	1-Aug-25	Emancipation Day is a public holiday in Barbados
BB	Barbados	Kadooment Day	"Monday, August 4, 2025"	4-Aug-25	Kadooment Day is a public holiday in Barbados
BB	Barbados	September Equinox	"Monday, September 22, 2025"	22-Sep-25	September Equinox in Barbados (Bridgetown)
BB	Barbados	Halloween	"Friday, October 31, 2025"	31-Oct-25	Halloween is a festive occasion that is celebrated in many countries on October 31 each year.
BB	Barbados	Independence Day	"Sunday, November 30, 2025"	30-Nov-25	Independence Day is a public holiday in Barbados
BB	Barbados	Day off for Independence Day	"Monday, December 1, 2025"	1-Dec-25	Independence Day is a public holiday in Barbados
BB	Barbados	December Solstice	"Sunday, December 21, 2025"	21-Dec-25	December Solstice in Barbados (Bridgetown)
BB	Barbados	Christmas Eve	"Wednesday, December 24, 2025"	24-Dec-25	Christmas Eve is the day before Christmas Day and falls on December 24 in the Gregorian calendar.
BB	Barbados	Christmas Day	"Thursday, December 25, 2025"	25-Dec-25	Christmas Day is one of the biggest Christian celebrations and falls on December 25 in the Gregorian calendar.
BB	Barbados	Boxing Day	"Friday, December 26, 2025"	26-Dec-25	Boxing Day is a public holiday in Barbados
BB	Barbados	Old Year's Night	"Wednesday, December 31, 2025"	31-Dec-25	"New Yearâ€™s Eve is the last day of the year, December 31, in the Gregorian calendar."
BY	Belarus	New Yearâ€™s Day	"Wednesday, January 1, 2025"	1-Jan-25	"New Yearâ€™s Day is the first day of the year, or January 1, in the Gregorian calendar."
BY	Belarus	New Year Holiday	"Thursday, January 2, 2025"	2-Jan-25	New Year Holiday is a national holiday in Belarus
BY	Belarus	Orthodox Christmas Holiday	"Monday, January 6, 2025"	6-Jan-25	Orthodox Christmas Holiday is a national holiday in Belarus
BY	Belarus	Orthodox Christmas Day	"Tuesday, January 7, 2025"	7-Jan-25	"Many Orthodox churches annually celebrate Christmas Day on or around January 7. This event commemorates the story of Jesus Christâ€™s birth, according to the Christian Bible."
BY	Belarus	Special Working Day	"Saturday, January 11, 2025"	11-Jan-25	Special Working Day is a working day on weekend in Belarus
BY	Belarus	Valentine's Day	"Friday, February 14, 2025"	14-Feb-25	February 14 is Valentine's Day or Saint Valentine's Feast. The day of love owes its origins to ancient Roman and European Christian traditions.
BY	Belarus	Defender of the Fatherland Day	"Sunday, February 23, 2025"	23-Feb-25	Defender of the Fatherland Day is a observance in Belarus
BY	Belarus	Womenâ€™s Day	"Saturday, March 8, 2025"	8-Mar-25	Womenâ€™s Day is a national holiday in Belarus
BY	Belarus	Constitution Day	"Saturday, March 15, 2025"	15-Mar-25	Constitution Day is a observance in Belarus
BY	Belarus	March Equinox	"Thursday, March 20, 2025"	20-Mar-25	March Equinox in Belarus (Minsk)
BY	Belarus	Union Day of Belarus and Russia	"Wednesday, April 2, 2025"	2-Apr-25	Union Day of Belarus and Russia is a observance in Belarus
BY	Belarus	Catholic Easter Sunday	"Sunday, April 20, 2025"	20-Apr-25	"Easter Sunday commemorates Jesus Christâ€™s resurrection, according to Christian belief."
BY	Belarus	Orthodox Easter Sunday	"Sunday, April 20, 2025"	20-Apr-25	Millions of Orthodox Christians around the world often celebrate Easter Sunday at a different time to the date set by many western churches.
BY	Belarus	Special Working Day	"Saturday, April 26, 2025"	26-Apr-25	Special Working Day is a working day on weekend in Belarus
BY	Belarus	Day of Remembrance of the Chernobyl Tragedy	"Saturday, April 26, 2025"	26-Apr-25	Day of Remembrance of the Chernobyl Tragedy is a observance in Belarus
BY	Belarus	Radonitsa Holiday	"Monday, April 28, 2025"	28-Apr-25	Radonitsa Holiday is a national holiday in Belarus
BY	Belarus	Radonitsa	"Tuesday, April 29, 2025"	29-Apr-25	Radonitsa is a national holiday in Belarus
BY	Belarus	Labour Day	"Thursday, May 1, 2025"	1-May-25	"Labor Day, International Workers' Day, and May Day, is a day off for workers in many countries around the world."
BY	Belarus	Victory Day	"Friday, May 9, 2025"	9-May-25	Victory Day is a national holiday in Belarus
BY	Belarus	Day of the National Emblem and Flag of Belarus	"Sunday, May 11, 2025"	11-May-25	Day of the National Emblem and Flag of Belarus is a observance in Belarus
BY	Belarus	June Solstice	"Saturday, June 21, 2025"	21-Jun-25	June Solstice in Belarus (Minsk)
BY	Belarus	Remembrance Day of Victims of the Great Patriotic War	"Sunday, June 22, 2025"	22-Jun-25	Remembrance Day of Victims of the Great Patriotic War is a observance in Belarus
BY	Belarus	Independence Day of the Republic of Belarus	"Thursday, July 3, 2025"	3-Jul-25	Independence Day of the Republic of Belarus is a national holiday in Belarus
BY	Belarus	Independence Day Holiday	"Friday, July 4, 2025"	4-Jul-25	Independence Day Holiday is a national holiday in Belarus
BY	Belarus	Kupalle (Day 1)	"Sunday, July 6, 2025"	6-Jul-25	Kupalle (Day 1) is a observance in Belarus
BY	Belarus	Kupalle (Day 2)	"Monday, July 7, 2025"	7-Jul-25	Kupalle (Day 2) is a observance in Belarus
BY	Belarus	Special Working Day	"Saturday, July 12, 2025"	12-Jul-25	Special Working Day is a working day on weekend in Belarus
BY	Belarus	National Unity Day	"Wednesday, September 17, 2025"	17-Sep-25	National Unity Day is a observance in Belarus
